RESULT now_pass=26 still_fail=37
component-scoped-css.scrml | E-COMPONENT-021
css-scope-01.scrml | E-COMPONENT-021
error-004-in-logic.scrml | E-CODEGEN-INVALID-JS
gauntlet-r10-bun-admin.scrml | E-RI-002
gauntlet-r10-solid-spreadsheet.scrml | E-SCOPE-001
gauntlet-r10-ts-components.scrml | E-COMPONENT-021
gauntlet-r10-zig-buildconfig.scrml | E-CG-006
gauntlet-s19-phase1-decls/phase1-fn-anonymous-010.scrml | E-SCOPE-001
gauntlet-s19-phase1-decls/phase1-let-bare-001.scrml | E-CODEGEN-INVALID-JS
gauntlet-s19-phase1-decls/phase1-navigate-bare-001.scrml | E-SCOPE-001
gauntlet-s19-phase1-decls/phase1-navigate-explicit-hard-002.scrml | E-SCOPE-001
gauntlet-s19-phase1-decls/phase1-navigate-server-003.scrml | E-SCOPE-001
gauntlet-s19-phase1-decls/phase1-use-named-012.scrml | E-COMPONENT-035
gauntlet-s19-phase2-control-flow/phase2-animationframe-in-element-091.scrml | E-SCOPE-001
gauntlet-s19-phase2-control-flow/phase2-for-lift-else-empty-049.scrml | E-CODEGEN-INVALID-JS
gauntlet-s19-phase2-control-flow/phase2-match-given-in-arm-104.scrml | E-MATCH-012
gauntlet-s19-phase2-control-flow/phase2-match-optional-039.scrml | E-MATCH-012
gauntlet-s19-phase3-operators/phase3-arith-in-match-arm-cond-118.scrml | E-CODEGEN-INVALID-JS
gauntlet-s19-phase3-operators/phase3-assign-expr-chained-080.scrml | E-CODEGEN-INVALID-JS
gauntlet-s19-phase3-operators/phase3-match-given-arm-075.scrml | E-MATCH-012
gauntlet-s19-phase3-operators/phase3-optchain-method-call-039.scrml | E-STRUCT-FUNCTION-FIELD
gauntlet-s20-channels/channel-shared-state-001.scrml | E-CHANNEL-SHARED-MODIFIER
gauntlet-s20-meta/meta-bun-eval-001.scrml | E-META-001
gauntlet-s20-meta/meta-compile-time-pure-001.scrml | E-META-EVAL-001
gauntlet-s20-meta/meta-nested-deep-001.scrml | E-META-009
gauntlet-s20-meta/meta-type-registry-001.scrml | E-CODEGEN-INVALID-JS
gauntlet-s20-sql/sql-transaction-001.scrml | E-SCOPE-001
gauntlet-s20-styles/css-flat-and-scoped-001.scrml | E-COMPONENT-021
gauntlet-s79-signup-form.scrml | E-TYPE-025
gauntlet-s79-theme-settings.scrml | E-TYPE-025
helpers/dnd-setup.scrml | E-SCOPE-001
match-001-nested-with-call.scrml | E-CODEGEN-INVALID-JS
meta-004-clean-config.scrml | E-SCOPE-001
meta-005-nested-meta.scrml | E-SCOPE-001
meta-010-reflect-with-config.scrml | E-SCOPE-001
meta-conditional-markup.scrml | E-META-EVAL-002
modern-007-dnd-with-helpers.scrml | E-SCOPE-001
SWEEP-COMPLETE
